Inglés,Español,Module,Sección,
SKU,SKU,module,Magento_Shipping,34
SKU,SKU,module,Magento_Support,34
SKU,SKU,module,Magento_UrlRewrite,34
SKU,SKU,module,Temando_Shipping,34
Sku,SKU,module,Temando_Shipping,34
SKU,SKU,module,Magento_InventoryConfigurableProductAdminUi,34
SKU,SKU,module,Magento_BundleStaging,34
SKU,SKU,module,Magento_CatalogStaging,34
SKU,SKU,module,Magento_ConfigurableProductStaging,34
SKU,SKU,module,Magento_GroupedProductStaging,34
SKU,SKU,module,Magento_InventoryLowQuantityNotificationAdminUi,34
SKU,SKU,module,Magento_InventoryShippingAdminUi,34
SKU,SKU,module,Magento_MultipleWishlist,34
SKU,SKU,module,Magento_ReviewStaging,34
SKU,SKU,module,Magento_SharedCatalog,34
SKU,SKU,module,Magento_VisualMerchandiser,34
Enabled,Activado,module,Fastly_Cdn,33
Enabled,Activado,module,Magento_Backend,33
Enabled,Activado,module,Magento_BannerPageBuilder,33
Enabled,Activado,module,Magento_CatalogStaging,33
Enabled,Activado,module,Magento_Catalog,33
Enabled,Activado,module,Magento_CheckoutAgreements,33
Enabled,Activado,module,Magento_Cms,33
Enabled,Activado,module,Magento_GiftWrapping,33
Enabled,Activado,module,Magento_ScheduledImportExport,33
Enabled,Activado,module,Magento_Support,33
Enabled,Activado,module,Magento_InventoryConfigurableProductAdminUi,33
Enabled,Activado,module,Dotdigitalgroup_Email,33
Enabled,Activado,module,Magento_AuthorizenetAcceptjs,33
Enabled,Activado,module,Magento_Authorizenet,33
Enabled,Activado,module,Magento_CompanyCredit,33
Enabled,Activado,module,Magento_Cybersource,33
Enabled,Activado,module,Magento_Directory,33
Enabled,Activado,module,Magento_Eway,33
Enabled,Activado,module,Magento_InstantPurchase,33
Enabled,Activado,module,Magento_InventoryAdminUi,33
Enabled,Activado,module,Magento_NegotiableQuote,33
Enabled,Activado,module,Magento_Newsletter,33
Enabled,Activado,module,Magento_OfflinePayments,33
Enabled,Activado,module,Magento_OfflineShipping,33
Enabled,Activado,module,Magento_Paypal,33
Enabled,Activado,module,Magento_Review,33
Enabled,Activado,module,Magento_Rma,33
Enabled,Activado,module,Magento_Sales,33
Enabled,Activado,module,Magento_SendFriend,33
Enabled,Activado,module,Magento_Sitemap,33
Enabled,Activado,module,Magento_Wishlist,33
Enabled,Activado,module,Magento_Worldpay,33
Enabled,Activado,module,Temando_Shipping,33
Save,Guardar,module,Magento_Backend,33
Save,Guardar,module,Magento_Banner,33
Save,Guardar,module,Magento_CatalogRule,33
Save,Guardar,module,Magento_Catalog,33
Save,Guardar,module,Magento_Cms,33
Save,Guardar,module,Magento_Company,33
Save,Guardar,module,Magento_ConfigurableProductStaging,33
Save,Guardar,module,Magento_ConfigurableProduct,33
save,Guardar,module,Magento_ConfigurableProduct,33
Save,Guardar,module,Magento_CustomerCustomAttributes,33
Save,Guardar,module,Magento_Customer,33
Save,Guardar,module,Magento_GiftCardAccount,33
Save,Guardar,module,Magento_GiftRegistry,33
Save,Guardar,module,Magento_Integration,33
Save,Guardar,module,Magento_Invitation,33
Save,Guardar,module,Magento_PageBuilder,33
Save,Guardar,module,Magento_Rma,33
Save,Guardar,module,Magento_SalesRule,33
Save,Guardar,module,Magento_SharedCatalog,33
Save,Guardar,module,Magento_Shipping,33
Save,Guardar,module,Magento_Staging,33
Save,Guardar,module,Magento_Tax,33
Save,Guardar,module,Magento_UrlRewrite,33
Save,Guardar,module,Magento_VersionsCms,33
Save,Guardar,module,Temando_Shipping,33
Save,Guardar,lib,lib/web/mage/translate-inline-vde.js,33
Save,Guardar,module,Magento_CompanyCredit,33
Save,Guardar,module,Magento_MultipleWishlist,33
Save,Guardar,module,Magento_NegotiableQuote,33
Save,Guardar,module,Magento_ProductVideo,33
Save,Guardar,module,Magento_RequisitionList,33
Save,Guardar,module,Magento_Variable,33
Save,Guardar,module,Magento_Logging,33
Edit,Editar,module,Dotdigitalgroup_Email,32
Edit,Editar,module,Magento_AdvancedCheckout,32
Edit,Editar,module,Magento_Backend,32
Edit,Editar,module,Magento_Catalog,32
Edit,Editar,module,Magento_Checkout,32
Edit,Editar,module,Magento_Cms,32
Edit,Editar,module,Magento_CompanyCredit,32
Edit,Editar,module,Magento_Company,32
Edit,Editar,module,Magento_Customer,32
Edit,Editar,module,Magento_GiftRegistry,32
Edit,Editar,module,Magento_Integration,32
Edit,Editar,module,Magento_MultipleWishlist,32
Edit,Editar,module,Magento_Multishipping,32
Edit,Editar,module,Magento_Paypal,32
Edit,Editar,module,Magento_Review,32
Edit,Editar,module,Magento_Sales,32
Edit,Editar,module,Magento_Theme,32
Edit,Editar,module,Magento_Wishlist,32
Edit,Editar,module,Temando_Shipping,32
edit,Editar,module,Magento_Checkout,32
Edit,Editar,module,Magento_GiftMessage,32
Edit,Editar,module,Magento_NegotiableQuote,32
Edit,Editar,module,Magento_AdvancedSearch,32
Edit,Editar,module,Magento_CatalogEvent,32
Edit,Editar,module,Magento_CatalogRuleStaging,32
Edit,Editar,module,Magento_GiftWrapping,32
Edit,Editar,module,Magento_Logging,32
Edit,Editar,module,Magento_PageBuilder,32
Edit,Editar,module,Magento_SalesRuleStaging,32
Edit,Editar,module,Magento_ScheduledImportExport,32
Edit,Editar,module,Magento_Search,32
Edit,Editar,module,Magento_UrlRewrite,32
Price,Precio,module,Magento_AdvancedCheckout,29
Price,Precio,module,Magento_Backend,29
Price,Precio,module,Magento_Bundle,29
Price,Precio,module,Magento_Catalog,29
Price,Precio,module,Magento_Checkout,29
Price,Precio,module,Magento_ConfigurableProduct,29
Price,Precio,module,Magento_Customer,29
Price,Precio,module,Magento_Downloadable,29
Price,Precio,module,Magento_GiftRegistry,29
Price,Precio,module,Magento_GiftWrapping,29
Price,Precio,module,Magento_GroupedProduct,29
Price,Precio,module,Magento_InventoryConfigurableProductAdminUi,29
Price,Precio,module,Magento_Msrp,29
Price,Precio,module,Magento_MultipleWishlist,29
Price,Precio,module,Magento_Multishipping,29
Price,Precio,module,Magento_NegotiableQuote,29
Price,Precio,module,Magento_Paypal,29
Price,Precio,module,Magento_Reports,29
Price,Precio,module,Magento_RequisitionList,29
Price,Precio,module,Magento_Review,29
Price,Precio,module,Magento_Rma,29
Price,Precio,module,Magento_Sales,29
Price,Precio,module,Magento_BundleStaging,29
Price,Precio,module,Magento_CatalogStaging,29
Price,Precio,module,Magento_ConfigurableProductStaging,29
Price,Precio,module,Magento_GroupedProductStaging,29
Price,Precio,module,Magento_OfflineShipping,29
Price,Precio,module,Magento_SharedCatalog,29
Price,Precio,module,Magento_VisualMerchandiser,29
Email,Email,module,Magento_Backend,27
Email,Email,module,Magento_Catalog,27
Email,Email,module,Magento_Company,27
Email,Email,module,Magento_Contact,27
Email,Email,module,Magento_CustomAttributeManagement,27
Email,Email,module,Magento_CustomerCustomAttributes,27
Email,Email,module,Magento_Customer,27
Email,Email,module,Magento_Eav,27
Email,Email,module,Magento_GiftRegistry,27
Email,Email,module,Magento_Integration,27
Email,Email,module,Magento_Invitation,27
Email,Email,module,Magento_Paypal,27
Email,Email,module,Magento_Reminder,27
Email,Email,module,Magento_Reports,27
Email,Email,module,Magento_Rma,27
Email,Email,module,Magento_Sales,27
Email,Email,module,Magento_SendFriend,27
Email,Email,module,Magento_Support,27
Email,Email,module,Magento_User,27
email,Email,module,Magento_User,27
Email,Email,module,Temando_Shipping,27
Email,Email,module,Dotdigitalgroup_Email,27
Email,Email,module,Magento_CustomerSegment,27
Email,Email,module,Magento_InventoryAdminUi,27
Email,Email,module,Magento_Logging,27
Email,Email,module,Magento_Newsletter,27
Email,Email,module,Magento_SalesArchive,27
Description,Descripción,module,Dotdigitalgroup_Email,26
Description,Descripción,module,Fastly_Cdn,26
Description,Descripción,module,Magento_Company,26
Description,Descripción,module,Magento_CustomerSegment,26
Description,Descripción,module,Magento_ProductVideo,26
Description,Descripción,module,Magento_Reminder,26
Description,Descripción,module,Magento_ScheduledImportExport,26
Description,Descripción,module,Magento_Shipping,26
Description,Descripción,module,Magento_Swatches,26
Description,Descripción,module,Magento_UrlRewrite,26
description,Descripción,module,Magento_Widget,26
description,Descripción,module,Temando_Shipping,26
Description,Descripción,module,Temando_Shipping,26
Description,Descripción,module,Magento_RequisitionList,26
Description,Descripción,module,Magento_Backend,26
Description,Descripción,module,Magento_CatalogRuleStaging,26
Description,Descripción,module,Magento_CatalogRule,26
Description,Descripción,module,Magento_CatalogStaging,26
Description,Descripción,module,Magento_Catalog,26
